Jap	Eng	type	id
闇黒の夢魔鏡	Dream Mirror of Terror	SPELL FIELD	1050355
スクラップ・エリア	Scrapyard	SPELL	1050684
F.A.シティGP	F.A. City Grand Prix	SPELL FIELD	1061200
マジック・プランター	Magic Planter	SPELL	1073952
運命の火時計	Pyro Clock of Destiny	TRAP	1082946
暗黒のミミック LV3	Dark Mimic LV3	EFFECT MONSTER	1102515
ガーディアンの力	Power of the Guardians	EQUIP SPELL	1118137
異次元の古戦場－サルガッソ	Sargasso the D.D. Battlefield	SPELL FIELD	1127737
サイバー・ドラゴン・ネクステア	Cyber Dragon Nachster	EFFECT MONSTER	1142880
デッキロック	Deck Lockdown	SPELL CONTINUOUS	1149109
サブテラーマリス・グライオース	Subterror Behemoth Phospheroglacier	EFFECT FLIP MONSTER	1151281
バージェストマ・レアンコイリア	Paleozoic Leanchoilia	TRAP	1154611
魔物の狩人	Kojikocy	NORMAL MONSTER	1184620
幻煌龍の螺旋波	Phantasm Spiral Wave	EQUIP SPELL	1197847
八汰鏡	Mirror of Yata	EQUIP SPELL	1200843
方界法	Cubic Dharma	SPELL CONTINUOUS	1218214
邪神の大災害	Malevolent Catastrophe	TRAP	1224927
連鎖破壊	Chain Destruction	TRAP	1248895
聖光の宣告者	Herald of Pure Light	EFFECT XYZ MONSTER	1249315
ジェムナイト・フュージョン	Gem-Knight Fusion	SPELL	1264319
Kozmo－シーミウズ	Kozmo Soartroopers	EFFECT MONSTER	1274455
古代の機械素体	Ancient Gear Frame	EFFECT MONSTER	1278431
ヴァイロン・テトラ	Vylon Tetra	EFFECT TUNER MONSTER	1281505
マテリアルファルコ	Prime Material Falcon	EFFECT MONSTER	1287123
転生炎獣の聖域	Salamangreat Sanctuary	SPELL FIELD	1295111
TG ストライカー	T.G. Striker	EFFECT TUNER MONSTER	1315120
SPYRAL－ザ・ダブルヘリックス	SPYRAL Double Helix	EFFECT LINK MONSTER	1322368
時空のペンデュラムグラフ	Time Pendulumgraph	TRAP CONTINUOUS	1344018
聖なる守り手	Mysterious Guard	EFFECT FLIP MONSTER	1347977
神の居城－ヴァルハラ	Valhalla, Hall of the Fallen	SPELL CONTINUOUS	1353770
粋カエル	Ronintoadin	EFFECT MONSTER	1357146
フォトン・クラッシャー	Photon Crusher	EFFECT MONSTER	1362589
吸血コアラ	Vampiric Koala	EFFECT MONSTER	1371589
相乗り	Shared Ride	QUICKPLAY SPELL	1372887
陽炎獣 スピンクス	Hazy Flame Sphynx	EFFECT MONSTER	1409474
レアメタル・ナイト	Super Roboyarou	EFFECT FUSION MONSTER	1412158
No.48 シャドー・リッチ	Number 48: Shadow Lich	EFFECT XYZ MONSTER	1426714
幻影トークン	Phantom Token	TOKEN NORMAL MONSTER	1426715
カオス・ネクロマンサー	Chaos Necromancer	EFFECT MONSTER	1434352
ドラゴンの秘宝	Dragon Treasure	EQUIP SPELL	1435851
ハチビー	Bee List Soldier	EFFECT MONSTER	1474910
闇の誘惑	Allure of Darkness	SPELL	1475311
副話術士クララ＆ルーシカ	Clara & Rushka, the Ventriloduo	EFFECT LINK MONSTER	1482001
六武衆の影武者	Kagemusha of the Six Samurai	EFFECT TUNER MONSTER	1498130
オルターガイスト・ヘクスティア	Altergeist Hexstia	EFFECT LINK MONSTER	1508649
ルーンアイズ・ペンデュラム・ドラゴン	Rune-Eyes Pendulum Dragon	EFFECT FUSION MONSTER	1516510
7つの武器を持つハンター	The Hunter with 7 Weapons	EFFECT MONSTER	1525329
空牙団の叡智 ウィズ	Wiz, Sage Fur Hire	EFFECT MONSTER	1527418
レアル・ジェネクス・マグナ	R-Genex Magma	EFFECT MONSTER	1533292
スペーシア・ギフト	Space Gift	SPELL	1539051
サイバー・エンド・ドラゴン	Cyber End Dragon	EFFECT FUSION MONSTER	1546123
サイバー・エンド・ドラゴン	Cyber End Dragon	EFFECT FUSION MONSTER	1546124
復讐の女戦士ローズ	Rose, Warrior of Revenge	EFFECT TUNER MONSTER	1557341
銀の弓矢	Silver Bow and Arrow	EQUIP SPELL	1557499
ABC－ドラゴン・バスター	ABC-Dragon Buster	EFFECT FUSION MONSTER	1561110
テイ・キューピット	Cupid Serve	EFFECT MONSTER	1566817
白い忍者	White Ninja	EFFECT FLIP MONSTER	1571945
ダイナミスト・ステゴサウラー	Dinomist Stegosaur	EFFECT PENDULUM MONSTER	1580833
ディープ・スペース・クルーザー・ナイン	Deep-Space Cruiser IX	EFFECT MONSTER	1586457
次元要塞兵器	Dimension Fortress Weapon	EFFECT MONSTER	1596508
ダーク・レクイエム・エクシーズ・ドラゴン	Dark Requiem Xyz Dragon	EFFECT XYZ MONSTER	1621413
昇天の剛角笛	Grand Horn of Heaven	TRAP COUNTER	1637760
神竜騎士フェルグラント	Divine Dragon Knight Felgrand	EFFECT XYZ MONSTER	1639384
フュージョニスト	Fusionist	FUSION MONSTER	1641882
ヴァイロン・セグメント	Vylon Segment	EQUIP SPELL	1644289
炎星師－チョウテン	Brotherhood of the Fire Fist - Spirit	EFFECT TUNER MONSTER	1662004
魔力浄化	Spell Purification	TRAP	1669772
アルティマヤ・ツィオルキン	Ultimaya Tzolkin	EFFECT SYNCHRO MONSTER	1686814
百獣大行進	The Big March of Animals	QUICKPLAY SPELL	1689516
PSYフレームギア・ε	PSY-Framegear Epsilon	EFFECT TUNER SPSUMMON MONSTER	1697104
Sin サイバー・エンド・ドラゴン	Malefic Cyber End Dragon	EFFECT SPSUMMON MONSTER	1710476
発条補修ゼンマイコン	Wind-Up Zenmaintenance	EFFECT LINK MONSTER	1735088
幻魔の肖像	Fiendish Portrait	TRAP	1759808
キャッツ・フェアリー	Nekogal #1	NORMAL MONSTER	1761063
デスカイザー・ドラゴン／バスター	Doomkaiser Dragon/Assault Mode	EFFECT SPSUMMON MONSTER	1764972
風林火山	Fuh-Rin-Ka-Zan	TRAP	1781310
ワイルド・ラプター	Uraby	NORMAL MONSTER	1784619
ティマイオスの眼	The Eye of Timaeus	SPELL	1784686
トランシケーダ	Transcicada	EFFECT TUNER MONSTER	1799464
ヌケガラトークン	Moult Token	TOKEN NORMAL MONSTER	1799465
遠心分離フィールド	Centrifugal Field	SPELL FIELD	1801154
木遁封印式	Sealing Ceremony of Mokuton	TRAP CONTINUOUS	1802450
呪われた棺	Dark Coffin	TRAP	1804528
超量合神－マグナフォーメーション	Super Quantal Union - Magnaformation	TRAP CONTINUOUS	1825445
トイナイト	Toy Knight	EFFECT MONSTER	1826676
六武衆の影－紫炎	Shadow of the Six Samurai - Shien	EFFECT XYZ MONSTER	1828513
H・C サウザンド・ブレード	Heroic Challenger - Thousand Blades	EFFECT MONSTER	1833916
エレキュア	Wattcine	SPELL CONTINUOUS	1834107
マックス・テレポーター	Overdrive Teleporter	EFFECT MONSTER	1834753
簡易融合	Instant Fusion	SPELL	1845204
武神帝－カグツチ	Bujintei Kagutsuchi	EFFECT XYZ MONSTER	1855932
デコード・トーカー	Decode Talker	EFFECT LINK MONSTER	1861629
デコード・トーカー	Decode Talker	EFFECT LINK MONSTER	1861630
夢魔鏡の白騎士－ルペウス	Morpheus, the Dream Mirror White Knight	EFFECT MONSTER	1872843
次元誘爆	Dimension Explosion	QUICKPLAY SPELL	1896112
ゴブリンの小役人	Minor Goblin Official	TRAP CONTINUOUS	1918087
キーメイス	Key Mace	NORMAL MONSTER	1929294
王の報酬	Generaider Boss Loot	SPELL CONTINUOUS	1942635
E・HERO ノヴァマスター	Elemental HERO Nova Master	EFFECT FUSION MONSTER	1945387
X・HERO ワンダー・ドライバー	Xtra HERO Wonder Driver	EFFECT LINK MONSTER	1948619
古代の機械工兵	Ancient Gear Engineer	EFFECT MONSTER	1953925
怒れるもけもけ	Mokey Mokey Smackdown	SPELL CONTINUOUS	1965724
雙極の破械神	Abominable Unchained Soul	EFFECT MONSTER	1966438
傀儡儀式－パペット・リチューアル	Puppet Ritual	SPELL	1969506
ホップ・イヤー飛行隊	Hop Ear Squadron	EFFECT TUNER MONSTER	1980574
No.9 天蓋星ダイソン・スフィア	Number 9: Dyson Sphere	EFFECT XYZ MONSTER	1992816
サイレント・ソードマン LV3	Silent Swordsman LV3	EFFECT MONSTER	1995985
BF－疾風のゲイル	Blackwing - Gale the Whirlwind	EFFECT TUNER MONSTER	2009101
隠れ兵	Hidden Soldiers	TRAP	2047519
時空の落とし穴	Time-Space Trap Hole	TRAP	2055403
No.104 仮面魔踏士シャイニング	Number 104: Masquerade	EFFECT XYZ MONSTER	2061963
剣闘獣ラニスタ	Gladiator Beast Lanista	EFFECT MONSTER	2067935
湿地草原	Wetlands	SPELL FIELD	2084239
ワーム・ヴィクトリー	Worm Victory	EFFECT FLIP MONSTER	2088870
先史遺産トゥスパ・ロケット	Chronomaly Tuspa Rocket	EFFECT MONSTER	2089016
セイクリッド・ビーハイブ	Constellar Praesepe	EFFECT XYZ MONSTER	2091298
水竜星－ビシキ	Bixi, Water of the Yang Zing	EFFECT MONSTER	2095764
スマイル・ワールド	Smile World	SPELL	2099841
ブライニグル	Brinegir	EFFECT MONSTER	2102065
XY－ドラゴン・キャノン	XY-Dragon Cannon	EFFECT FUSION MONSTER	2111707
ひょうすべ	Hyosube	NORMAL MONSTER	2118022
トラップ・キャプチャー	Trap Reclamation	TRAP	2122975
青眼の双爆裂龍	Blue-Eyes Twin Burst Dragon	EFFECT FUSION MONSTER	2129638
白衣の天使	Numinous Healer	TRAP	2130625
阿修羅	Asura Priest	EFFECT SPIRIT MONSTER	2134346
機皇兵グランエル・アイン	Meklord Army of Granel	EFFECT MONSTER	2137678
F.A.オフロードGP	F.A. Off-Road Grand Prix	SPELL FIELD	2144946
機甲忍法ラスト・ミスト	Armor Ninjitsu Art of Rust Mist	TRAP CONTINUOUS	2148918
サイバー・プリマ	Cyber Prima	EFFECT MONSTER	2158562
ナイト・バタフライ・アサシン	Night Papilloperative	EFFECT XYZ MONSTER	2191144
伝説の賭博師	Gambler of Legend	EFFECT MONSTER	2196767
XX－セイバー ヒュンレイ	XX-Saber Hyunlei	EFFECT SYNCHRO MONSTER	2203790
ワルキューレ・ヴリュンヒルデ	Valkyrie Brunhilde	EFFECT MONSTER	2204038
生者の書－禁断の呪術－	Book of Life	SPELL	2204140
セキュア・ガードナー	Secure Gardna	EFFECT LINK MONSTER	2220237
D・ステープラン	Morphtronic Staplen	EFFECT MONSTER	2250266
ヴェンデット・リユニオン	Vendread Reunion	TRAP	2266498
星因士 アルタイル	Satellarknight Altair	EFFECT MONSTER	2273734
ヴェンデット・リバース	Vendread Revolution	TRAP	2287848
ワン・フォー・ワン	One for One	SPELL	2295440
ピースの輪	Symbol of Friendship	SPELL	2295831
ガトリングバギー	Overdrive	NORMAL MONSTER	2311603
黒・魔・導	Dark Magic Attack	SPELL	2314238
魔法の国の王女－クラン	Princess Curran	EFFECT SPSUMMON MONSTER	2316186
ロード・ウォリアー	Road Warrior	EFFECT SYNCHRO MONSTER	2322421
デス・ラクーダ	Des Lacooda	EFFECT MONSTER	2326738
極星將テュール	Tyr of the Nordic Champions	EFFECT MONSTER	2333365
マイクロ・コーダー	Micro Coder	EFFECT MONSTER	2347477
偉大天狗	Great Long Nose	EFFECT SPIRIT MONSTER	2356994
ペンデュラム・エリア	Pendulum Area	TRAP	2359348
救援光	Light of Redemption	SPELL	2362787
魔妖廻天	Mayakashi Return	SPELL	2364438
魔界劇団－ハイパー・ディレクター	Abyss Actor - Hyper Director	EFFECT LINK MONSTER	2368215
はがねの甲羅	Steel Shell	EQUIP SPELL	2370081
エクシーズ・リフレクト	Xyz Reflect	TRAP COUNTER	2371506
バージェストマ・エルドニア	Paleozoic Eldonia	TRAP	2376209
ネオフレムベル・ヘッジホッグ	Neo Flamvell Hedgehog	EFFECT TUNER MONSTER	2377034
おジャマ改造	Ojamassimilation	SPELL	2390019
ディノンの鋼鉄騎兵	Steel Cavalry of Dinon	EFFECT PENDULUM MONSTER	2396042
パワー・ツール・ドラゴン	Power Tool Dragon	EFFECT SYNCHRO MONSTER	2403771
ラヴァル炎火山の侍女	Laval Volcano Handmaiden	EFFECT TUNER MONSTER	2407147
No.69 紋章神コート・オブ・アームズ	Number 69: Heraldry Crest	EFFECT XYZ MONSTER	2407234
竜絶蘭	Agave Dragon	EFFECT LINK MONSTER	2411269
インタラプト・レジスタンス	Interrupt Resistor	EFFECT MONSTER	2414168
ライトロード・スピリット シャイア	Shire, Lightsworn Spirit	EFFECT MONSTER	2420921
方界降世	Cubic Ascension	TRAP	2434862
切り込み隊長	Marauding Captain	EFFECT MONSTER	2460565
甲虫装機 グルフ	Inzektor Ladybug	EFFECT MONSTER	2461031
封印師 メイセイ	Sealmaster Meisei	NORMAL MONSTER	2468169
水の踊り子	Water Omotics	NORMAL MONSTER	2483611
スカルビショップ	Skull Knight	FUSION MONSTER	2504891
真六武衆－カゲキ	Legendary Six Samurai - Kageki	EFFECT MONSTER	2511717
天翔の竜騎士ガイア	Sky Galloping Gaia the Dragon Champion	EFFECT FUSION MONSTER	2519690
威炎星－ヒエンシャク	Brotherhood of the Fire Fist - Swallow	EFFECT MONSTER	2521011
魔導騎士 ディフェンダー	Defender, the Magical Knight	EFFECT MONSTER	2525268
銀河眼の光波刃竜	Galaxy-Eyes Cipher Blade Dragon	EFFECT XYZ MONSTER	2530830
スカーレッド・コクーン	Red Cocoon	TRAP	2542230
オルターガイスト・ホーンデッドロック	Altergeist Haunted Rock	TRAP CONTINUOUS	2547033
侵食細胞「A」	"Corruption Cell ""A"""	SPELL	2561846
マジェスペクター・テンペスト	Majespecter Tempest	TRAP COUNTER	2572890
シャクトパス	Shocktopus	EFFECT MONSTER	2584136
破壊剣－ウィザードバスターブレード	Wizard Buster Destruction Sword	EFFECT MONSTER	2602411
フォトン・チャージマン	Photon Chargeman	EFFECT MONSTER	2618045
剣闘獣サムニテ	Gladiator Beast Samnite	EFFECT MONSTER	2619149
スプール・コード	Spool Code	QUICKPLAY SPELL	2625939
スプールトークン	Spool Token	TOKEN NORMAL MONSTER	2625940
零氷の魔妖－雪女	Yuki-Onna, the Absolute Zero Mayakashi	EFFECT LINK MONSTER	2645637
ZW－極星神馬聖鎧	ZW - Sleipnir Mail	EFFECT MONSTER	2648201
永の王 オルムガンド	Jormungandr, Generaider Boss of Eternity	EFFECT XYZ MONSTER	2665273
ハイパーハンマーヘッド	Hyper Hammerhead	EFFECT MONSTER	2671330
メデューサ・ワーム	Medusa Worm	EFFECT MONSTER	2694423
ファーニマル・キャット	Fluffal Cat	EFFECT MONSTER	2729285
デコイドラゴン	Decoy Dragon	EFFECT MONSTER	2732323
水晶機巧－フェニキシオン	Crystron Phoenix	EFFECT SYNCHRO MONSTER	2743001
グレイドル・インパクト	Graydle Impact	SPELL CONTINUOUS	2759860
ダイガスタ・フェニクス	Daigusto Phoenix	EFFECT XYZ MONSTER	2766877
エレキマイラ	Wattchimera	EFFECT SYNCHRO MONSTER	2772236
棘の壁	Wall of Thorns	TRAP	2779999
青き眼の威光	Majesty with Eyes of Blue	QUICKPLAY SPELL	2783661
異形の従者	Servant of Catabolism	EFFECT MONSTER	2792265
戦華の雄－張徳	Ancient Warriors - Valiant Zhang De	EFFECT MONSTER	2801664
PSYフレームギア・β	PSY-Framegear Beta	EFFECT TUNER SPSUMMON MONSTER	2810642
幻煌の都 パシフィス	Pacifis, the Phantasm City	SPELL FIELD	2819435
幻煌龍トークン	Phantasm Spiral Token	TOKEN NORMAL MONSTER	2819436
フレイム・ヴァイパー	Flame Viper	NORMAL MONSTER	2830619
虹クリボー	Rainbow Kuriboh	EFFECT MONSTER	2830693
竜の血族	D. Tribe	TRAP	2833249
素早いマンボウ	Nimble Sunfish	EFFECT MONSTER	2843014
魔鏡導士リフレクト・バウンダー	Reflect Bounder	EFFECT MONSTER	2851070
トロイメア・フェニックス	Knightmare Phoenix	EFFECT LINK MONSTER	2857636
ミラージュ	Fiend Reflection #2	NORMAL MONSTER	2863439
炎の王 ナグルファー	Naglfar, Generaider Boss of Fire	EFFECT MONSTER	2881864
生け贄人形	Tribute Doll	SPELL	2903036
グラップラー	Grappler	NORMAL MONSTER	2906250
借カラクリ整備蔵	Karakuri Cash Shed	TRAP COUNTER	2924048
王家の呪い	Curse of Royal	TRAP COUNTER	2926176
星遺物へ至る鍵	World Legacy Key	SPELL CONTINUOUS	2930675
ゴゴゴゴーレム－GF	Gogogo Golem - Golden Form	EFFECT SPSUMMON MONSTER	2948263
ナチュル・パルキオン	Naturia Barkion	EFFECT SYNCHRO MONSTER	2956282
魔頭を持つ邪竜	Wicked Dragon with the Ersatz Head	NORMAL MONSTER	2957055
ドラゴン・エッガー	Ryu-Ran	NORMAL MONSTER	2964201
戦いの神 オリオン	Orion the Battle King	NORMAL MONSTER	2971090
キャッチ・コピー	Sales Pitch	TRAP	2971446
No.46 神影龍ドラッグルーオン	Number 46: Dragluon	EFFECT XYZ MONSTER	2978414
聖なるあかり	Consecrated Light	EFFECT MONSTER	2980764
夜薔薇の騎士	Twilight Rose Knight	EFFECT TUNER MONSTER	2986553
Fuhma Wave	Fuhma Wave	TRAP	2994495
サイバー・ダーク・キール	Cyberdark Keel	EFFECT MONSTER	3019642
ワルキューレ・ドリット	Valkyrie Dritte	EFFECT MONSTER	3026686
偽物のわな	Fake Trap	TRAP	3027001
スレイブ・エイプ	Test Ape	EFFECT MONSTER	3030892
黒板消しの罠	Trap of Board Eraser	TRAP COUNTER	3055837
王座の侵略者	Invader of the Throne	EFFECT FLIP MONSTER	3056267
超重武者装留ビッグバン	Superheavy Samurai Soulbang Cannon	EFFECT MONSTER	3064425
スノー・ドラゴン	Snow Dragon	EFFECT MONSTER	3070049
リターン・ゾンビ	Return Zombie	EFFECT MONSTER	3072077
BF－天狗風のヒレン	Blackwing - Hillen the Tengu-wind	EFFECT TUNER MONSTER	3072808
八汰烏	Yata-Garasu	EFFECT SPIRIT MONSTER	3078576
タツネクロ	Tatsunecro	EFFECT TUNER MONSTER	3096468
ブリリアント・スパーク	Brilliant Spark	TRAP	3105404
彩宝龍	Lappis Dragon	EFFECT TUNER MONSTER	3111207
鋼鉄の襲撃者	Heavy Metal Raiders	SPELL FIELD	3113667
ジェムナイト・セラフィ	Gem-Knight Seraphinite	EFFECT FUSION MONSTER	3113836
超重武者ビッグベン－K	Superheavy Samurai Big Benkei	EFFECT MONSTER	3117804
カース・オブ・スタチュー	Tiki Curse	TRAP CONTINUOUS	3129635
フライングマンティス	Flying Kamakiri #2	NORMAL MONSTER	3134241
オルフェゴール・オーケストリオン	Orcustrion	EFFECT LINK MONSTER	3134857
レベル制限B地区	Level Limit - Area B	SPELL CONTINUOUS	3136426
サイコ・リアクター	Psychic Reactor	TRAP	3146695
ツタン仮面	Tutan Mask	TRAP COUNTER	3149764
明と宵の逆転	Exchange of Night and Day	TRAP CONTINUOUS	3160805
パペット・キング	Puppet King	EFFECT MONSTER	3167573
タクヒ	Takuhee	NORMAL MONSTER	3170832
連鎖解呪	Chain Dispel	TRAP	3171055
ワーム・ソリッド	Worm Solid	EFFECT MONSTER	3204467
禁断の異本	Forbidden Apocrypha	TRAP	3211439
サイコウィールダー	Psychic Wheeleder	EFFECT TUNER MONSTER	3233859
シールドスピア	Shield Spear	TRAP	3244563
第六感	Sixth Sense	TRAP	3280747
