id	Jap_FullWidth	AutoSet
373085	讃美火	
387282	ガガガシスター	" ,cat_Jap,include,ガガガ__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
 ,cat_Jap,include,ガガガ"
402568	エレキリン	
403847	連合軍	 ,race,==,WARRIOR
423585	召喚僧サモンプリースト	 ,type,include,SPELL
423705	鉄の騎士 ギア・フリード	
425934	強欲ゴブリン	
440556	バハムート・シャーク	 ,attribute,==,WATER
458748	法の聖典	" ,cat_Jap,include,召喚獣
 ,cat_Jap,include,召喚獣"
464362	デストーイ・シザー・タイガー	 ,(,1,.__ ,cat_Jap,include,ファーニマル__Or,cat_Jap,include,デストーイ__.,),1,.
473469	猛吹雪	" ,type,include,TRAP
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
487395	ウォーター・スピリット	
494922	超重荒神スサノ－Ｏ	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
525110	プチトマボー	 ,cat_Jap,include,トマボー
549481	プリヴェント・ラット	
564541	ミンゲイドラゴン	 ,type,include,MONSTER__And,race,!=,DRAGON
575512	ＰＳＹフレーム・サーキット	" ,cat_Jap,include,PSYフレーム
 ,cat_Jap,include,PSYフレーム
 ,cat_Jap,include,PSYフレーム"
581014	ダイガスタ・エメラル	" ,type,include,MONSTER
 ,type,not include,EFFECT"
595626	アンクリボー	
596051	毒蛇の牙	
598988	Ｓｉｎ レインボー・ドラゴン	
601193	彼岸の詩人 ウェルギリウス	 ,cat_Jap,include,彼岸
612115	剣闘獣レティアリィ	And,cat_Jap,include,剣闘獣
637216	Monster Express	
645087	サイバース・ガジェット	 ,level,<,2
645088	ガジェット・トークン	 ,level,<,2
645794	マジェスペクター・フロッグ	 ,cat_Jap,include,マジェスペクター__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
652362	エーリアンモナイト	
674561	ダーク・バースト	 ,attack,<,1500__ ,attribute,==,DARK
675319	ゾディアックＳ	" ,race,==,BEASTWARRIOR
 ,cat_Jap,include,十二獣
 ,type,include,MONSTER"
691925	ソーラー・エクスチェンジ	 ,cat_Jap,include,ライトロード__And,type,include,MONSTER
698785	サンダーエンド・ドラゴン	
703897	オルフェゴール・クリマクス	" ,cat_Jap,include,オルフェゴール
 ,race,==,MACHINE__And,attribute,==,DARK
 ,race,==,MACHINE__And,attribute,==,DARK"
706925	海皇の狙撃兵	And,level,<,4__And,cat_Jap,include,海皇__And,race,==,SEASERPENT
712559	アマゾネスの里	 ,level,<,lv__ ,cat_Jap,include,アマゾネス
720147	王の憤激	" ,type,include,XYZ
 ,cat_Jap,include,ジェネレイド__And,type,include,MONSTER__And,type,not include,TOKEN"
732302	髑髏の寺院	
734741	彼岸の悪鬼 ラビキャント	" ,cat_Jap,not include,彼岸
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
739444	マガジンドラムゴン	 ,race,==,DRAGON,scard,sumtype,tp__And,attribute,==,DARK,scard,sumtype,tp
744887	虚の王 ウートガルザ	 ,(,1,.__ ,race,==,ROCK__Or,(,2,.__ ,cat_Jap,include,ジェネレイド__And,type,include,MONSTER__.,),2,.__.,),2,.
756652	ドローン	
759393	火霊使いヒータ	 ,attribute,==,FIRE
770365	魔導皇聖 トリス	 ,cat_Jap,include,魔導書
786906	逢魔ノ刻	
799183	超戦士の盾	
811734	ＤＤＤの契約変更	" ,cat_Jap,include,DDD
 ,level,<,4__ ,cat_Jap,include,DD__And,type,include,PENDULUM"
816427	ネオフレムベル・レディ	" ,attribute,==,FIRE
 ,attribute,==,FIRE__And,defense,<,200"
847915	ナンバーズ・ウォール	
856784	運命のドロー	
876330	ドラグニティアームズ－ミスティル	 ,cat_Jap,include,ドラグニティ__And,race,==,DRAGON
879958	パラレルポート・アーマー	
899287	怪鳥グライフ	 ,id,==,72283691
900787	ドラグニティナイト－ゲイボルグ	 ,race,==,WINGEDBEAST
904185	垂直着陸	 ,attribute,==,WIND__And,type,not include,TOKEN
904186	幻獣機トークン	 ,attribute,==,WIND__And,type,not include,TOKEN
911883	予想ＧＵＹ	 ,type,include,NORMAL__And,level,<,4
917796	ガガガタッグ	
923596	ギアギアーマー	 ,cat_Jap,include,ギアギア__And,type,include,MONSTER
938717	起動兵長コマンドリボルバー	 ,race,==,MACHINE__And,cat_Jap,include,ガジェット__And,type,include,MONSTER
967928	罰ゲーム！	
975299	巨大要塞ゼロス	" ,cat_Jap,include,巨大戦艦
 ,cat_Jap,include,巨大戦艦"
980973	アームド・ドラゴン ＬＶ３	
981540	ハーフ・アンブレイク	
983995	リ・バウンド	
984114	エクスプレスロイド	 ,cat_Jap,include,ロイド__And,type,include,MONSTER
987311	ＤＤＤ疾風王アレクサンダー	" ,cat_Jap,include,DD
 ,level,<,4__ ,cat_Jap,include,DD"
1003028	トラブル・ダイバー	
1003840	スターライト・ジャンクション	 ,cat_Jap,include,シンクロン
1005587	煉獄の落とし穴	" ,type,include,EFFECT__And,attack,>,2000
 ,type,include,EFFECT__And,attack,>,2000"
1006081	ジャンク・チェンジャー	 ,cat_Jap,include,ジャンク
1033312	苦渋の決断	" ,level,<,4__ ,type,include,NORMAL
 ,id,==,code"
1036974	ミスフォーチュン	
1045143	ギアギアーノ Ｍｋ－ＩＩ	 ,cat_Jap,include,ギアギア
1050186	星因士 ウヌク	 ,cat_Jap,include,テラナイト
1050355	闇黒の夢魔鏡	" ,id,==,74665651
 ,cat_Jap,include,夢魔鏡__And,attribute,==,DARK"
1050684	スクラップ・エリア	 ,cat_Jap,include,スクラップ__And,type,include,TUNER
1061200	Ｆ.Ａ.シティＧＰ	 ,cat_Jap,include,F.A.
1073952	マジック・プランター	
1082946	運命の火時計	
1102515	暗黒のミミック ＬＶ３	
1118137	ガーディアンの力	
1127737	異次元の古戦場－サルガッソ	
1142880	サイバー・ドラゴン・ネクステア	 ,type,include,MONSTER
1149109	デッキロック	
1151281	サブテラーマリス・グライオース	
1154611	バージェストマ・レアンコイリア	
1184620	魔物の狩人	
1197847	幻煌龍の螺旋波	
1200843	八汰鏡	
1218214	方界法	" ,cat_Jap,include,方界
 ,cat_Jap,include,方界
 ,cat_Jap,include,方界__And,type,include,MONSTER"
1224927	邪神の大災害	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
1248895	連鎖破壊	 ,attack,<,2000
1249315	聖光の宣告者	 ,type,include,MONSTER
1264319	ジェムナイト・フュージョン	 ,cat_Jap,include,ジェムナイト__And,type,include,MONSTER
1274455	Ｋｏｚｍｏ－シーミウズ	" ,cat_Jap,include,Kozmo__And,level,>,4
 ,cat_Jap,include,Kozmo__And,race,==,PSYCHIC"
1278431	古代の機械素体	 ,(,1,.__ ,(,2,.__ ,(,3,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),3,.__.,),3,.__.,),3,.
1281505	ヴァイロン・テトラ	
1287123	マテリアルファルコ	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
1295111	転生炎獣の聖域	
1315120	ＴＧ ストライカー	 ,cat_Jap,include,TG__And,type,include,MONSTER
1322368	ＳＰＹＲＡＬ－ザ・ダブルヘリックス	 ,cat_Jap,include,SPYRAL__And,type,include,MONSTER
1344018	時空のペンデュラムグラフ	 ,cat_Jap,include,魔術師__And,type,include,PENDULUM
1347977	聖なる守り手	" ,type,include,MONSTER
 ,type,include,MONSTER"
1353770	神の居城－ヴァルハラ	 ,race,==,FAIRY
1357146	粋カエル	
1362589	フォトン・クラッシャー	
1371589	吸血コアラ	
1372887	相乗り	
1409474	陽炎獣 スピンクス	 ,attribute,==,FIRE
1412158	レアメタル・ナイト	
1426714	Ｎｏ.４８ シャドー・リッチ	
1426715	幻影トークン	
1434352	カオス・ネクロマンサー	
1435851	ドラゴンの秘宝	
1474910	ハチビー	 ,race,==,INSECT
1475311	闇の誘惑	
1482001	副話術士クララ＆ルーシカ	
1498130	六武衆の影武者	
1508649	オルターガイスト・ヘクスティア	" ,cat_Jap,include,オルターガイスト
 ,cat_Jap,include,オルターガイスト
 ,cat_Jap,include,オルターガイスト"
1516510	ルーンアイズ・ペンデュラム・ドラゴン	
1525329	７つの武器を持つハンター	
1527418	空牙団の叡智 ウィズ	"And,cat_Jap,include,空牙団
 ,cat_Jap,include,空牙団"
1533292	レアル・ジェネクス・マグナ	 ,cat_Jap,include,レアル・ジェネクス
1539051	スペーシア・ギフト	
1546123	サイバー・エンド・ドラゴン	
1546124	サイバー・エンド・ドラゴン	
1557341	復讐の女戦士ローズ	
1557499	銀の弓矢	
1561110	ＡＢＣ－ドラゴン・バスター	 ,race,==,MACHINE__And,attribute,==,LIGHT
1566817	テイ・キューピット	
1571945	白い忍者	
1580833	ダイナミスト・ステゴサウラー	 ,cat_Jap,include,ダイナミスト
1586457	ディープ・スペース・クルーザー・ナイン	 ,race,==,MACHINE
1596508	次元要塞兵器	
1621413	ダーク・レクイエム・エクシーズ・ドラゴン	 ,type,include,XYZ
1637760	昇天の剛角笛	
1639384	神竜騎士フェルグラント	
1641882	フュージョニスト	
1644289	ヴァイロン・セグメント	 ,cat_Jap,include,ヴァイロン__And,type,include,SPELL
1662004	炎星師－チョウテン	 ,defense,<,200__ ,attribute,==,FIRE
1669772	魔力浄化	
1686814	アルティマヤ・ツィオルキン	 ,type,include,TUNER
1689516	百獣大行進	
1697104	ＰＳＹフレームギア・ε	 ,id,==,49036338
1710476	Ｓｉｎ サイバー・エンド・ドラゴン	
1735088	発条補修ゼンマイコン	" ,cat_Jap,include,ゼンマイ
 ,cat_Jap,include,ゼンマイ
 ,id,==,code
 ,cat_Jap,include,ゼンマイ__And,type,include,XYZ"
1759808	幻魔の肖像	 ,id,==,cd
1761063	キャッツ・フェアリー	
1764972	デスカイザー・ドラゴン／バスター	" ,race,==,ZOMBIE
 ,race,==,ZOMBIE"
1781310	風林火山	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
1784619	ワイルド・ラプター	
1784686	ティマイオスの眼	 ,cat_Jap,include,ブラック・マジシャン
1799464	トランシケーダ	
1799465	ヌケガラトークン	
1801154	遠心分離フィールド	
1802450	木遁封印式	
1804528	呪われた棺	
1825445	超量合神－マグナフォーメーション	" ,type,not include,TOKEN
 ,cat_Jap,include,超量__And,type,include,XYZ"
1826676	トイナイト	
1828513	六武衆の影－紫炎	 ,cat_Jap,include,六武衆__And,attack,<,2000
1833916	Ｈ・Ｃ サウザンド・ブレード	" ,cat_Jap,include,ヒロイック
 ,cat_Jap,include,ヒロイック"
1834107	エレキュア	
1834753	マックス・テレポーター	 ,race,==,PSYCHIC
1845204	簡易融合	 ,type,include,FUSION
1855932	武神帝－カグツチ	 ,cat_Jap,include,武神__And,race,==,BEASTWARRIOR
1861629	デコード・トーカー	
1861630	デコード・トーカー	
1872843	夢魔鏡の白騎士－ルペウス	
1896112	次元誘爆	
1918087	ゴブリンの小役人	
1929294	キーメイス	
1942635	王の報酬	 ,type,include,EFFECT
1945387	Ｅ・ＨＥＲＯ ノヴァマスター	
1948619	Ｘ・ＨＥＲＯ ワンダー・ドライバー	" ,cat_Jap,include,HERO
 ,(,1,.__ ,(,2,.__ ,type,include,SPELL__And,cat_Jap,include,融合／フュージョン__.,),2,.__Or,(,3,.__ ,type,include,QUICKPLAY__And,cat_Jap,include,チェンジ__.,),3,.__.,),3,.
 ,cat_Jap,include,HERO"
1953925	古代の機械工兵	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
1965724	怒れるもけもけ	
1966438	雙極の破械神	
1969506	傀儡儀式－パペット・リチューアル	 ,cat_Jap,include,ギミック・パペット
1980574	ホップ・イヤー飛行隊	
1992816	Ｎｏ.９ 天蓋星ダイソン・スフィア	
1995985	サイレント・ソードマン ＬＶ３	
2009101	ＢＦ－疾風のゲイル	 ,cat_Jap,include,BF
2047519	隠れ兵	 ,level,<,4__ ,attribute,==,DARK
2055403	時空の落とし穴	
2061963	Ｎｏ.１０４ 仮面魔踏士シャイニング	
2067935	剣闘獣ラニスタ	" ,cat_Jap,include,剣闘獣__And,type,include,MONSTER
And,cat_Jap,include,剣闘獣"
2084239	湿地草原	
2088870	ワーム・ヴィクトリー	" ,(,1,.__ ,cat_Jap,include,ワーム__And,race,==,REPTILE__.,),1,.
 ,cat_Jap,include,ワーム__And,race,==,REPTILE"
2089016	先史遺産トゥスパ・ロケット	 ,type,include,MONSTER__And,cat_Jap,include,先史遺産__And,(,1,.__ ,level,>,1__.,),1,.
2091298	セイクリッド・ビーハイブ	
2095764	水竜星－ビシキ	 ,cat_Jap,include,竜星
2099841	スマイル・ワールド	
2102065	ブライニグル	" ,attribute,==,WATER
 ,attribute,==,WATER"
2111707	ＸＹ－ドラゴン・キャノン	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
2118022	ひょうすべ	
2122975	トラップ・キャプチャー	
2129638	青眼の双爆裂龍	
2130625	白衣の天使	
2134346	阿修羅	
2137678	機皇兵グランエル・アイン	
2144946	Ｆ.Ａ.オフロードＧＰ	 ,cat_Jap,include,F.A.
2148918	機甲忍法ラスト・ミスト	
2158562	サイバー・プリマ	
2191144	ナイト・バタフライ・アサシン	
2196767	伝説の賭博師	
2203790	ＸＸ－セイバー ヒュンレイ	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
2204038	ワルキューレ・ヴリュンヒルデ	 ,cat_Jap,include,ワルキューレ
2204140	生者の書－禁断の呪術－	" ,race,==,ZOMBIE
 ,type,include,MONSTER"
2220237	セキュア・ガードナー	 ,race,==,CYBERSE,lc,sumtype,tp__And,type,include,LINK,lc,sumtype,tp
2250266	Ｄ・ステープラン	
2266498	ヴェンデット・リユニオン	" ,cat_Jap,include,ヴェンデット
 ,cat_Jap,include,ヴェンデット"
2273734	星因士 アルタイル	 ,cat_Jap,include,テラナイト
2287848	ヴェンデット・リバース	" ,cat_Jap,include,ヴェンデット
 ,race,==,ZOMBIE"
2295440	ワン・フォー・ワン	 ,type,include,MONSTER
2295831	ピースの輪	
2311603	ガトリングバギー	
2314238	黒・魔・導	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
2316186	魔法の国の王女－クラン	
2322421	ロード・ウォリアー	 ,level,<,2__ ,race,==,WARRIOR
2326738	デス・ラクーダ	
2333365	極星將テュール	
2347477	マイクロ・コーダー	 ,(,1,.__ ,(,2,.__ ,cat_Jap,include,サイバネット__And,(,3,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),3,.__.,),3,.__Or,(,4,.__ ,race,==,CYBERSE__And,level,==,4__.,),4,.__.,),4,.
2356994	偉大天狗	
2359348	ペンデュラム・エリア	
2362787	救援光	 ,attribute,==,LIGHT
2364438	魔妖廻天	 ,cat_Jap,include,魔妖
2368215	魔界劇団－ハイパー・ディレクター	" ,cat_Jap,include,魔界劇団__And,type,include,PENDULUM,lc,sumtype,tp
 ,cat_Jap,include,魔界劇団__And,type,include,PENDULUM"
2370081	はがねの甲羅	
2371506	エクシーズ・リフレクト	 ,type,include,XYZ
2376209	バージェストマ・エルドニア	
2377034	ネオフレムベル・ヘッジホッグ	
2390019	おジャマ改造	" ,type,include,FUSION__And,attribute,==,LIGHT__And,race,==,MACHINE
 ,id,==,...
 ,type,include,MONSTER__And,cat_Jap,include,おジャマ"
2396042	ディノンの鋼鉄騎兵	
2403771	パワー・ツール・ドラゴン	" ,type,include,EQUIP
 ,type,include,SPELL"
2407147	ラヴァル炎火山の侍女	" ,cat_Jap,include,ラヴァル
 ,cat_Jap,include,ラヴァル__And,type,include,MONSTER"
2407234	Ｎｏ.６９ 紋章神コート・オブ・アームズ	" ,type,include,XYZ
 ,type,include,XYZ"
2411269	竜絶蘭	
2414168	インタラプト・レジスタンス	
2420921	ライトロード・スピリット シャイア	 ,cat_Jap,include,ライトロード__And,type,include,MONSTER
2434862	方界降世	 ,id,==,15610297
2460565	切り込み隊長	 ,level,<,4
2461031	甲虫装機 グルフ	 ,cat_Jap,include,甲虫装機__And,type,include,MONSTER
2468169	封印師 メイセイ	
2483611	水の踊り子	
2504891	スカルビショップ	
2511717	真六武衆－カゲキ	" ,level,<,4__ ,cat_Jap,include,六武衆
 ,cat_Jap,include,六武衆"
2519690	天翔の竜騎士ガイア	
2521011	威炎星－ヒエンシャク	" ,cat_Jap,include,炎舞__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
 ,cat_Jap,include,炎舞__And,type,include,TRAP"
2525268	魔導騎士 ディフェンダー	 ,race,!=,SPELLCASTER
2530830	銀河眼の光波刃竜	 ,cat_Jap,include,ギャラクシーアイズ__And,type,include,XYZ,lc,SUMMON_XYZ,tp
2542230	スカーレッド・コクーン	 ,race,==,DRAGON__And,type,include,SYNCHRO
2547033	オルターガイスト・ホーンデッドロック	" ,cat_Jap,include,オルターガイスト__And,type,include,MONSTER
 ,cat_Jap,include,オルターガイスト__And,type,include,MONSTER"
2561846	侵食細胞「Ａ」	
2572890	マジェスペクター・テンペスト	 ,race,==,SPELLCASTER__And,attribute,==,WIND
2584136	シャクトパス	
2602411	破壊剣－ウィザードバスターブレード	 ,cat_Jap,include,破壊剣__And,type,include,MONSTER
2618045	フォトン・チャージマン	
2619149	剣闘獣サムニテ	" ,cat_Jap,include,剣闘獣
And,cat_Jap,include,剣闘獣"
2625939	スプール・コード	
2625940	スプールトークン	
2645637	零氷の魔妖－雪女	
2648201	ＺＷ－極星神馬聖鎧	" ,cat_Jap,include,希望皇ホープ
 ,cat_Jap,include,希望皇ホープ"
2665273	永の王 オルムガンド	 ,type,not include,TOKEN
2671330	ハイパーハンマーヘッド	
2694423	メデューサ・ワーム	
2729285	ファーニマル・キャット	 ,id,==,24094653
2732323	デコイドラゴン	 ,level,>,7__ ,race,==,DRAGON
2743001	水晶機巧－フェニキシオン	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
2759860	グレイドル・インパクト	" ,cat_Jap,include,グレイドル
 ,cat_Jap,include,グレイドル"
2766877	ダイガスタ・フェニクス	 ,attribute,==,WIND
2772236	エレキマイラ	
2779999	棘の壁	
2783661	青き眼の威光	 ,cat_Jap,include,ブルーアイズ
2792265	異形の従者	
2801664	戦華の雄－張徳	
2810642	ＰＳＹフレームギア・β	 ,id,==,49036338
2819435	幻煌の都 パシフィス	" ,type,not include,EFFECT
 ,cat_Jap,include,幻煌龍"
2819436	幻煌龍トークン	" ,type,not include,EFFECT
 ,cat_Jap,include,幻煌龍"
2830619	フレイム・ヴァイパー	
2830693	虹クリボー	
2833249	竜の血族	
2843014	素早いマンボウ	 ,race,==,FISH
2851070	魔鏡導士リフレクト・バウンダー	
2857636	トロイメア・フェニックス	
2863439	ミラージュ	
2881864	炎の王 ナグルファー	" ,type,include,MONSTER
 ,(,1,.__ ,cat_Jap,include,ジェネレイド__Or,race,==,BEASTWARRIOR__.,),1,."
2903036	生け贄人形	
2906250	グラップラー	
2924048	借カラクリ整備蔵	 ,cat_Jap,include,カラクリ
2926176	王家の呪い	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
2930675	星遺物へ至る鍵	" ,(,1,.__ ,(,2,.__ ,cat_Jap,include,ジャックナイツ__And,type,include,MONSTER__.,),2,.__Or,cat_Jap,include,星遺物__.,),2,.
 ,cat_Jap,include,ジャックナイツ"
2948263	ゴゴゴゴーレム－ＧＦ	
2956282	ナチュル・パルキオン	
2957055	魔頭を持つ邪竜	
2964201	ドラゴン・エッガー	
2971090	戦いの神 オリオン	
2971446	キャッチ・コピー	
2978414	Ｎｏ.４６ 神影龍ドラッグルーオン	" ,race,==,DRAGON
 ,race,==,DRAGON
 ,race,==,DRAGON"
2980764	聖なるあかり	
2986553	夜薔薇の騎士	 ,level,<,4__ ,race,==,PLANT
2994495	Fuhma Wave	
3019642	サイバー・ダーク・キール	 ,level,<,3__ ,race,==,DRAGON
3026686	ワルキューレ・ドリット	" ,cat_Jap,include,ワルキューレ
 ,type,include,MONSTER"
3027001	偽物のわな	 ,type,include,TRAP
3030892	スレイブ・エイプ	 ,level,<,4__ ,cat_Jap,include,剣闘獣
3055837	黒板消しの罠	
3056267	王座の侵略者	
3064425	超重武者装留ビッグバン	" ,cat_Jap,include,超重武者
 ,cat_Jap,include,超重武者"
3070049	スノー・ドラゴン	
3072077	リターン・ゾンビ	
3072808	ＢＦ－天狗風のヒレン	 ,level,<,3__ ,cat_Jap,include,BF
3078576	八汰烏	
3096468	タツネクロ	
3105404	ブリリアント・スパーク	 ,cat_Jap,include,ジェムナイト
3111207	彩宝龍	
3113667	鋼鉄の襲撃者	 ,race,==,MACHINE__And,attribute,==,DARK
3113836	ジェムナイト・セラフィ	
3117804	超重武者ビッグベン－Ｋ	
3129635	カース・オブ・スタチュー	
3134241	フライングマンティス	
3134857	オルフェゴール・オーケストリオン	 ,race,==,MACHINE
3136426	レベル制限Ｂ地区	
3146695	サイコ・リアクター	
3149764	ツタン仮面	 ,race,==,ZOMBIE
3160805	明と宵の逆転	" ,race,==,WARRIOR__And,attribute,==,LIGHT
 ,race,==,WARRIOR__And,attribute,==,DARK
 ,race,==,WARRIOR__And,attribute,==,DARK
 ,race,==,WARRIOR__And,attribute,==,LIGHT"
3167573	パペット・キング	
3170832	タクヒ	
3171055	連鎖解呪	
3204467	ワーム・ソリッド	" ,cat_Jap,include,ワーム__And,race,==,REPTILE
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
3211439	禁断の異本	 ,type,include,tpe
3233859	サイコウィールダー	 ,level,==,3
3244563	シールドスピア	
3280747	第六感	
3283679	エヴォルド・ラゴスクス	" ,type,include,MONSTER__And,cat_Jap,include,エヴォルダー
 ,cat_Jap,include,エヴォルド"
3298689	ＲＵＭ－幻影騎士団ラウンチ	" ,attribute,==,DARK__And,type,include,XYZ
 ,cat_Jap,include,幻影騎士団__And,type,include,MONSTER"
3300267	聖刻龍－シユウドラゴン	" ,cat_Jap,include,聖刻
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
 ,type,include,NORMAL__And,race,==,DRAGON"
3356494	銀河眼の煌星竜	" ,type,include,MONSTER__And,(,1,.__ ,cat_Jap,include,フォトン__Or,cat_Jap,include,ギャラクシー__.,),1,.
 ,(,1,.__ ,cat_Jap,include,フォトン__Or,cat_Jap,include,ギャラクシー__.,),1,."
3366982	ドラゴンに乗るワイバーン	 ,attribute,==,0xf8
3370104	サイバー・フェニックス	
3381441	墓守の巫女	
3395226	幻奏の音姫プロディジー・モーツァルト	" ,attribute,==,LIGHT
 ,race,==,FAIRY__And,attribute,==,LIGHT"
3405259	Ｃ－クラッシュ・ワイバーン	" ,race,==,MACHINE__And,attribute,==,LIGHT
 ,type,include,UNION"
3422200	水晶機巧－サルファフナー	" ,cat_Jap,include,クリストロン
 ,cat_Jap,include,クリストロン"
3428069	破壊剣の使い手－バスター・ブレイダー	" ,type,include,MONSTER
 ,race,==,rc"
3429238	ドリル・ウォリアー	 ,type,include,MONSTER
3431737	バスター・ビースト	 ,id,==,80280737
3486020	麗の魔妖－妖狐	 ,race,==,ZOMBIE
3492538	火器付機甲鎧	
3493058	サイコロン	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
3493978	首領亀	
3510565	ステルスバード	
3534077	熱血獣士ウルフバーク	 ,race,==,BEASTWARRIOR__And,attribute,==,FIRE
3536537	ヴェルズ・ザッハーク	 ,level,>,5
3549275	ダイス・ポット	
3557275	ホワイト・ダストン	
3560069	レイテンシ	
3567660	リンク・バック	
3573512	ランドスターの剣士	
3576031	クリスタルＰ	
3580032	伝説の預言者マーリン	" ,cat_Jap,include,聖騎士
 ,cat_Jap,include,聖騎士
 ,cat_Jap,include,聖騎士
 ,cat_Jap,include,聖騎士"
3603242	シュレツダー	" ,race,==,MACHINE
 ,level,<,lv"
3606209	魂を狩る者	
3606728	ガガガガール	 ,cat_Jap,not include,ガガガ
3611830	創聖魔導王 エンディミオン	
3627449	ローガーディアン	
3629090	サイバー・エンジェル－韋駄天－	
3642509	Ｅ・ＨＥＲＯ Ｇｒｅａｔ ＴＯＲＮＡＤＯ	
3643300	伝説のフィッシャーマン	
3648368	Ａ・Ｏ・Ｊ リサーチャー	
3657444	サイバー・ヴァリー	
3659803	オーバーロード・フュージョン	 ,attribute,==,DARK__And,race,==,MACHINE
3679218	トロイメア・マーメイド	" ,cat_Jap,include,トロイメア
 ,cat_Jap,include,トロイメア"
3682106	ダブルトラップ	
