Jap,Eng,type,id
天火の牢獄,Fire Prison,SPELL FIELD,269510
霊魂の円環,Shinobird Salvation,TRAP CONTINUOUS,276357
水精鱗－アビスノーズ,Mermail Abyssnose,MONSTER EFFECT,282886
ジェット・ウォリアー,Jet Warrior,MONSTER EFFECT SYNCHRO,286392
TG ワーウルフ,T.G. Warwolf,MONSTER EFFECT,293542
伝説の都 アトランティス,A Legendary Ocean,SPELL FIELD,295517
一族の掟,The Regulation of Tribe,TRAP CONTINUOUS,296499
電脳増幅器,Amplifier,SPELL EQUIP,303660
魔法の歯車,Spell Gear,SPELL,313513
ガスタ・スクイレル,Gusto Squirro,MONSTER EFFECT TUNER,336369
EMハンマーマンモ,Performapal Elephammer,MONSTER EFFECT,340002
ヴェルズ・ナイトメア,Evilswarm Nightmare,MONSTER EFFECT XYZ,359563
ダイナミスト・ブラキオン,Dinomist Brachion,MONSTER EFFECT PENDULUM,368382
讃美火,Firebrand Hymnist,MONSTER EFFECT,373085
ガガガシスター,Gagaga Sister,MONSTER EFFECT,387282
エレキリン,Wattgiraffe,MONSTER EFFECT,402568
連合軍,The A. Forces,SPELL CONTINUOUS,403847
召喚僧サモンプリースト,Summoner Monk,MONSTER EFFECT,423585
鉄の騎士 ギア・フリード,Gearfried the Iron Knight,MONSTER EFFECT,423705
強欲ゴブリン,Goblin of Greed,MONSTER EFFECT,425934
バハムート・シャーク,Bahamut Shark,MONSTER EFFECT XYZ,440556
法の聖典,The Book of the Law,SPELL QUICKPLAY,458748
デストーイ・シザー・タイガー,Frightfur Tiger,MONSTER EFFECT FUSION,464362
猛吹雪,Driving Snow,TRAP,473469
ウォーター・スピリット,Water Spirit,MONSTER NORMAL TUNER,487395
超重荒神スサノ－O,Superheavy Samurai Warlord Susanowo,MONSTER EFFECT SYNCHRO,494922
プチトマボー,Cherry Inmato,MONSTER EFFECT TUNER,525110
プリヴェント・ラット,Prevent Rat,MONSTER NORMAL,549481
ミンゲイドラゴン,Totem Dragon,MONSTER EFFECT,564541
PSYフレーム・サーキット,PSY-Frame Circuit,SPELL FIELD,575512
ダイガスタ・エメラル,Daigusto Emeral,MONSTER EFFECT XYZ,581014
アンクリボー,Ankuriboh,MONSTER EFFECT,595626
毒蛇の牙,Snake Fang,TRAP,596051
Sin レインボー・ドラゴン,Malefic Rainbow Dragon,MONSTER EFFECT SPSUMMON,598988
彼岸の詩人 ウェルギリウス,"Virgil, Rock Star of the Burning Abyss",MONSTER EFFECT SYNCHRO,601193
剣闘獣レティアリィ,Gladiator Beast Retiari,MONSTER EFFECT,612115
Monster Express,Monster Express,MONSTER EFFECT,637216
サイバース・ガジェット,Cyberse Gadget,MONSTER EFFECT,645087
ガジェット・トークン,Gadget Token,MONSTER NORMAL TOKEN,645088
マジェスペクター・フロッグ,Majespecter Toad - Ogama,MONSTER EFFECT PENDULUM,645794
エーリアンモナイト,Alien Ammonite,MONSTER EFFECT TUNER,652362
ダーク・バースト,Dark Eruption,SPELL,674561
ゾディアックS,Zodiac Sign,SPELL FIELD,675319
ソーラー・エクスチェンジ,Solar Recharge,SPELL,691925
サンダーエンド・ドラゴン,Thunder End Dragon,MONSTER EFFECT XYZ,698785
オルフェゴール・クリマクス,Orcust Crescendo,TRAP COUNTER,703897
海皇の狙撃兵,Atlantean Marksman,MONSTER EFFECT,706925
アマゾネスの里,Amazoness Village,SPELL FIELD,712559
王の憤激,Generaider Boss Bite,TRAP,720147
髑髏の寺院,Temple of Skulls,MONSTER NORMAL,732302
彼岸の悪鬼 ラビキャント,"Rubic, Malebranche of the Burning Abyss",MONSTER EFFECT TUNER,734741
マガジンドラムゴン,Vorticular Drumgon,MONSTER EFFECT LINK,739444
虚の王 ウートガルザ,"Utgarda, Generaider Boss of Delusion",MONSTER EFFECT,744887
ドローン,Doron,MONSTER NORMAL,756652
火霊使いヒータ,Hiita the Fire Charmer,MONSTER EFFECT FLIP,759393
魔導皇聖 トリス,Empress of Prophecy,MONSTER EFFECT XYZ,770365
逢魔ノ刻,Fateful Hour,TRAP,786906
超戦士の盾,Super Soldier Shield,TRAP COUNTER,799183
DDDの契約変更,D/D/D Contract Change,TRAP,811734
ネオフレムベル・レディ,Neo Flamvell Lady,MONSTER EFFECT,816427
ナンバーズ・ウォール,Number Wall,TRAP CONTINUOUS,847915
運命のドロー,Draw of Fate,SPELL,856784
ドラグニティアームズ－ミスティル,Dragunity Arma Mystletainn,MONSTER EFFECT,876330
パラレルポート・アーマー,Parallel Port Armor,TRAP,879958
怪鳥グライフ,Glife the Phantom Bird,MONSTER EFFECT,899287
ドラグニティナイト－ゲイボルグ,Dragunity Knight - Gae Bulg,MONSTER EFFECT SYNCHRO,900787
垂直着陸,Vertical Landing,SPELL QUICKPLAY,904185
幻獣機トークン,Mecha Phantom Beast Token,MONSTER NORMAL TOKEN,904186
予想GUY,Unexpected Dai,SPELL,911883
ガガガタッグ,Gagagatag,SPELL,917796
ギアギアーマー,Geargiarmor,MONSTER EFFECT,923596
Boot-Up Corporal - Command Dynamo,Boot-Up Corporal - Command Dynamo,MONSTER EFFECT,938717
罰ゲーム！,Penalty Game!,TRAP,967928
巨大要塞ゼロス,B.E.F. Zelos,SPELL FIELD,975299
アームド・ドラゴン LV3,Armed Dragon LV3,MONSTER EFFECT,980973
ハーフ・アンブレイク,Half Unbreak,TRAP,981540
リ・バウンド,Rebound,TRAP COUNTER,983995
エクスプレスロイド,Expressroid,MONSTER EFFECT,984114
DDD疾風王アレクサンダー,D/D/D Gust King Alexander,MONSTER EFFECT SYNCHRO,987311
トラブル・ダイバー,Doggy Diver,MONSTER EFFECT,1003028
スターライト・ジャンクション,Starlight Junktion,SPELL FIELD,1003840
煉獄の落とし穴,Void Trap Hole,TRAP,1005587
ジャンク・チェンジャー,Junk Changer,MONSTER EFFECT TUNER,1006081
苦渋の決断,Painful Decision,SPELL,1033312
ミスフォーチュン,Misfortune,SPELL,1036974
ギアギアーノ Mk－II,Geargiano Mk-II,MONSTER EFFECT,1045143
星因士 ウヌク,Satellarknight Unukalhai,MONSTER EFFECT,1050186
Dream Mirror of Terror,Dream Mirror of Terror,SPELL FIELD,1050355
スクラップ・エリア,Scrapyard,SPELL,1050684
F.A.シティGP,F.A. City Grand Prix,SPELL FIELD,1061200
マジック・プランター,Magic Planter,SPELL,1073952
運命の火時計,Pyro Clock of Destiny,TRAP,1082946
暗黒のミミック LV3,Dark Mimic LV3,MONSTER EFFECT,1102515
ガーディアンの力,Power of the Guardians,SPELL EQUIP,1118137
異次元の古戦場－サルガッソ,Sargasso the D.D. Battlefield,SPELL FIELD,1127737
サイバー・ドラゴン・ネクステア,Cyber Dragon Nachster,MONSTER EFFECT,1142880
デッキロック,Deck Lockdown,SPELL CONTINUOUS,1149109
サブテラーマリス・グライオース,Subterror Behemoth Phospheroglacier,MONSTER EFFECT FLIP,1151281
バージェストマ・レアンコイリア,Paleozoic Leanchoilia,TRAP,1154611
魔物の狩人,Kojikocy,MONSTER NORMAL,1184620
幻煌龍の螺旋波,Phantasm Spiral Wave,SPELL EQUIP,1197847
八汰鏡,Mirror of Yata,SPELL EQUIP,1200843
方界法,Cubic Dharma,SPELL CONTINUOUS,1218214
邪神の大災害,Malevolent Catastrophe,TRAP,1224927
連鎖破壊,Chain Destruction,TRAP,1248895
聖光の宣告者,Herald of Pure Light,MONSTER EFFECT XYZ,1249315
ジェムナイト・フュージョン,Gem-Knight Fusion,SPELL,1264319
Kozmo－シーミウズ,Kozmo Soartroopers,MONSTER EFFECT,1274455
古代の機械素体,Ancient Gear Frame,MONSTER EFFECT,1278431
ヴァイロン・テトラ,Vylon Tetra,MONSTER EFFECT TUNER,1281505
マテリアルファルコ,Prime Material Falcon,MONSTER EFFECT,1287123
転生炎獣の聖域,Salamangreat Sanctuary,SPELL FIELD,1295111
TG ストライカー,T.G. Striker,MONSTER EFFECT TUNER,1315120
SPYRAL－ザ・ダブルヘリックス,SPYRAL Double Helix,MONSTER EFFECT LINK,1322368
時空のペンデュラムグラフ,Time Pendulumgraph,TRAP CONTINUOUS,1344018
聖なる守り手,Mysterious Guard,MONSTER EFFECT FLIP,1347977
神の居城－ヴァルハラ,"Valhalla, Hall of the Fallen",SPELL CONTINUOUS,1353770
粋カエル,Ronintoadin,MONSTER EFFECT,1357146
フォトン・クラッシャー,Photon Crusher,MONSTER EFFECT,1362589
吸血コアラ,Vampiric Koala,MONSTER EFFECT,1371589
相乗り,Shared Ride,SPELL QUICKPLAY,1372887
陽炎獣 スピンクス,Hazy Flame Sphynx,MONSTER EFFECT,1409474
レアメタル・ナイト,Super Roboyarou,MONSTER EFFECT FUSION,1412158
No.48 シャドー・リッチ,Number 48: Shadow Lich,MONSTER EFFECT XYZ,1426714
幻影トークン,Phantom Token,MONSTER NORMAL TOKEN,1426715
カオス・ネクロマンサー,Chaos Necromancer,MONSTER EFFECT,1434352
ドラゴンの秘宝,Dragon Treasure,SPELL EQUIP,1435851
ハチビー,Bee List Soldier,MONSTER EFFECT,1474910
闇の誘惑,Allure of Darkness,SPELL,1475311
副話術士クララ＆ルーシカ,"Clara & Rushka, the Ventriloduo",MONSTER EFFECT LINK,1482001
六武衆の影武者,Kagemusha of the Six Samurai,MONSTER EFFECT TUNER,1498130
オルターガイスト・ヘクスティア,Altergeist Hexstia,MONSTER EFFECT LINK,1508649
ルーンアイズ・ペンデュラム・ドラゴン,Rune-Eyes Pendulum Dragon,MONSTER EFFECT FUSION,1516510
7つの武器を持つハンター,The Hunter with 7 Weapons,MONSTER EFFECT,1525329
空牙団の叡智 ウィズ,"Wiz, Sage Fur Hire",MONSTER EFFECT,1527418
レアル・ジェネクス・マグナ,R-Genex Magma,MONSTER EFFECT,1533292
スペーシア・ギフト,Space Gift,SPELL,1539051
サイバー・エンド・ドラゴン,Cyber End Dragon,MONSTER EFFECT FUSION,1546123
サイバー・エンド・ドラゴン,Cyber End Dragon,MONSTER EFFECT FUSION,1546124
復讐の女戦士ローズ,"Rose, Warrior of Revenge",MONSTER EFFECT TUNER,1557341
銀の弓矢,Silver Bow and Arrow,SPELL EQUIP,1557499
ABC－ドラゴン・バスター,ABC-Dragon Buster,MONSTER EFFECT FUSION,1561110
テイ・キューピット,Cupid Serve,MONSTER EFFECT,1566817
白い忍者,White Ninja,MONSTER EFFECT FLIP,1571945
ダイナミスト・ステゴサウラー,Dinomist Stegosaur,MONSTER EFFECT PENDULUM,1580833
ディープ・スペース・クルーザー・ナイン,Deep-Space Cruiser IX,MONSTER EFFECT,1586457
次元要塞兵器,Dimension Fortress Weapon,MONSTER EFFECT,1596508
ダーク・レクイエム・エクシーズ・ドラゴン,Dark Requiem Xyz Dragon,MONSTER EFFECT XYZ,1621413
昇天の剛角笛,Grand Horn of Heaven,TRAP COUNTER,1637760
神竜騎士フェルグラント,Divine Dragon Knight Felgrand,MONSTER EFFECT XYZ,1639384
フュージョニスト,Fusionist,MONSTER FUSION,1641882
ヴァイロン・セグメント,Vylon Segment,SPELL EQUIP,1644289
炎星師－チョウテン,Brotherhood of the Fire Fist - Spirit,MONSTER EFFECT TUNER,1662004
魔力浄化,Spell Purification,TRAP,1669772
アルティマヤ・ツィオルキン,Ultimaya Tzolkin,MONSTER EFFECT SYNCHRO,1686814
百獣大行進,The Big March of Animals,SPELL QUICKPLAY,1689516
PSYフレームギア・ε,PSY-Framegear Epsilon,MONSTER EFFECT TUNER SPSUMMON,1697104
Sin サイバー・エンド・ドラゴン,Malefic Cyber End Dragon,MONSTER EFFECT SPSUMMON,1710476
発条補修ゼンマイコン,Wind-Up Zenmaintenance,MONSTER EFFECT LINK,1735088
幻魔の肖像,Fiendish Portrait,TRAP,1759808
キャッツ・フェアリー,Nekogal #1,MONSTER NORMAL,1761063
デスカイザー・ドラゴン／バスター,Doomkaiser Dragon/Assault Mode,MONSTER EFFECT SPSUMMON,1764972
風林火山,Fuh-Rin-Ka-Zan,TRAP,1781310
ワイルド・ラプター,Uraby,MONSTER NORMAL,1784619
ティマイオスの眼,The Eye of Timaeus,SPELL,1784686
トランシケーダ,Transcicada,MONSTER EFFECT TUNER,1799464
ヌケガラトークン,Moult Token,MONSTER NORMAL TOKEN,1799465
遠心分離フィールド,Centrifugal Field,SPELL FIELD,1801154
木遁封印式,Sealing Ceremony of Mokuton,TRAP CONTINUOUS,1802450
呪われた棺,Dark Coffin,TRAP,1804528
超量合神－マグナフォーメーション,Super Quantal Union - Magnaformation,TRAP CONTINUOUS,1825445
トイナイト,Toy Knight,MONSTER EFFECT,1826676
六武衆の影－紫炎,Shadow of the Six Samurai - Shien,MONSTER EFFECT XYZ,1828513
H・C サウザンド・ブレード,Heroic Challenger - Thousand Blades,MONSTER EFFECT,1833916
エレキュア,Wattcine,SPELL CONTINUOUS,1834107
マックス・テレポーター,Overdrive Teleporter,MONSTER EFFECT,1834753
簡易融合,Instant Fusion,SPELL,1845204
武神帝－カグツチ,Bujintei Kagutsuchi,MONSTER EFFECT XYZ,1855932
デコード・トーカー,Decode Talker,MONSTER EFFECT LINK,1861629
デコード・トーカー,Decode Talker,MONSTER EFFECT LINK,1861630
"Morpheus, the Dream Mirror White Knight","Morpheus, the Dream Mirror White Knight",MONSTER EFFECT,1872843
次元誘爆,Dimension Explosion,SPELL QUICKPLAY,1896112
ゴブリンの小役人,Minor Goblin Official,TRAP CONTINUOUS,1918087
キーメイス,Key Mace,MONSTER NORMAL,1929294
王の報酬,Generaider Boss Loot,SPELL CONTINUOUS,1942635
E・HERO ノヴァマスター,Elemental HERO Nova Master,MONSTER EFFECT FUSION,1945387
X・HERO ワンダー・ドライバー,Xtra HERO Wonder Driver,MONSTER EFFECT LINK,1948619
古代の機械工兵,Ancient Gear Engineer,MONSTER EFFECT,1953925
怒れるもけもけ,Mokey Mokey Smackdown,SPELL CONTINUOUS,1965724
雙極の破械神,Abominable Unchained Soul,MONSTER EFFECT,1966438
傀儡儀式－パペット・リチューアル,Puppet Ritual,SPELL,1969506
ホップ・イヤー飛行隊,Hop Ear Squadron,MONSTER EFFECT TUNER,1980574
No.9 天蓋星ダイソン・スフィア,Number 9: Dyson Sphere,MONSTER EFFECT XYZ,1992816
サイレント・ソードマン LV3,Silent Swordsman LV3,MONSTER EFFECT,1995985
BF－疾風のゲイル,Blackwing - Gale the Whirlwind,MONSTER EFFECT TUNER,2009101
隠れ兵,Hidden Soldiers,TRAP,2047519
時空の落とし穴,Time-Space Trap Hole,TRAP,2055403
No.104 仮面魔踏士シャイニング,Number 104: Masquerade,MONSTER EFFECT XYZ,2061963
剣闘獣ラニスタ,Gladiator Beast Lanista,MONSTER EFFECT,2067935
湿地草原,Wetlands,SPELL FIELD,2084239
ワーム・ヴィクトリー,Worm Victory,MONSTER EFFECT FLIP,2088870
先史遺産トゥスパ・ロケット,Chronomaly Tuspa Rocket,MONSTER EFFECT,2089016
セイクリッド・ビーハイブ,Constellar Praesepe,MONSTER EFFECT XYZ,2091298
水竜星－ビシキ,"Bixi, Water of the Yang Zing",MONSTER EFFECT,2095764
スマイル・ワールド,Smile World,SPELL,2099841
ブライニグル,Brinegir,MONSTER EFFECT,2102065
XY－ドラゴン・キャノン,XY-Dragon Cannon,MONSTER EFFECT FUSION,2111707
ひょうすべ,Hyosube,MONSTER NORMAL,2118022
トラップ・キャプチャー,Trap Reclamation,TRAP,2122975
青眼の双爆裂龍,Blue-Eyes Twin Burst Dragon,MONSTER EFFECT FUSION,2129638
白衣の天使,Numinous Healer,TRAP,2130625
阿修羅,Asura Priest,MONSTER EFFECT SPIRIT,2134346
機皇兵グランエル・アイン,Meklord Army of Granel,MONSTER EFFECT,2137678
F.A.オフロードGP,F.A. Off-Road Grand Prix,SPELL FIELD,2144946
機甲忍法ラスト・ミスト,Armor Ninjitsu Art of Rust Mist,TRAP CONTINUOUS,2148918
サイバー・プリマ,Cyber Prima,MONSTER EFFECT,2158562
ナイト・バタフライ・アサシン,Night Papilloperative,MONSTER EFFECT XYZ,2191144
伝説の賭博師,Gambler of Legend,MONSTER EFFECT,2196767
XX－セイバー ヒュンレイ,XX-Saber Hyunlei,MONSTER EFFECT SYNCHRO,2203790
ワルキューレ・ヴリュンヒルデ,Valkyrie Brunhilde,MONSTER EFFECT,2204038
生者の書－禁断の呪術－,Book of Life,SPELL,2204140
セキュア・ガードナー,Secure Gardna,MONSTER EFFECT LINK,2220237
D・ステープラン,Morphtronic Staplen,MONSTER EFFECT,2250266
ヴェンデット・リユニオン,Vendread Reunion,TRAP,2266498
星因士 アルタイル,Satellarknight Altair,MONSTER EFFECT,2273734
ヴェンデット・リバース,Vendread Revolution,TRAP,2287848
ワン・フォー・ワン,One for One,SPELL,2295440
ピースの輪,Symbol of Friendship,SPELL,2295831
ガトリングバギー,Overdrive,MONSTER NORMAL,2311603
黒・魔・導,Dark Magic Attack,SPELL,2314238
魔法の国の王女－クラン,Princess Curran,MONSTER EFFECT SPSUMMON,2316186
ロード・ウォリアー,Road Warrior,MONSTER EFFECT SYNCHRO,2322421
デス・ラクーダ,Des Lacooda,MONSTER EFFECT,2326738
極星將テュール,Tyr of the Nordic Champions,MONSTER EFFECT,2333365
マイクロ・コーダー,Micro Coder,MONSTER EFFECT,2347477
偉大天狗,Great Long Nose,MONSTER EFFECT SPIRIT,2356994
ペンデュラム・エリア,Pendulum Area,TRAP,2359348
救援光,Light of Redemption,SPELL,2362787
魔妖廻天,Mayakashi Return,SPELL,2364438
魔界劇団－ハイパー・ディレクター,Abyss Actor - Hyper Director,MONSTER EFFECT LINK,2368215
はがねの甲羅,Steel Shell,SPELL EQUIP,2370081
エクシーズ・リフレクト,Xyz Reflect,TRAP COUNTER,2371506
バージェストマ・エルドニア,Paleozoic Eldonia,TRAP,2376209
ネオフレムベル・ヘッジホッグ,Neo Flamvell Hedgehog,MONSTER EFFECT TUNER,2377034
おジャマ改造,Ojamassimilation,SPELL,2390019
ディノンの鋼鉄騎兵,Steel Cavalry of Dinon,MONSTER EFFECT PENDULUM,2396042
パワー・ツール・ドラゴン,Power Tool Dragon,MONSTER EFFECT SYNCHRO,2403771
ラヴァル炎火山の侍女,Laval Volcano Handmaiden,MONSTER EFFECT TUNER,2407147
No.69 紋章神コート・オブ・アームズ,Number 69: Heraldry Crest,MONSTER EFFECT XYZ,2407234
竜絶蘭,Agave Dragon,MONSTER EFFECT LINK,2411269
インタラプト・レジスタンス,Interrupt Resistor,MONSTER EFFECT,2414168
ライトロード・スピリット シャイア,"Shire, Lightsworn Spirit",MONSTER EFFECT,2420921
方界降世,Cubic Ascension,TRAP,2434862
切り込み隊長,Marauding Captain,MONSTER EFFECT,2460565
甲虫装機 グルフ,Inzektor Ladybug,MONSTER EFFECT,2461031
封印師 メイセイ,Sealmaster Meisei,MONSTER NORMAL,2468169
水の踊り子,Water Omotics,MONSTER NORMAL,2483611
スカルビショップ,Skull Knight,MONSTER FUSION,2504891
真六武衆－カゲキ,Legendary Six Samurai - Kageki,MONSTER EFFECT,2511717
天翔の竜騎士ガイア,Sky Galloping Gaia the Dragon Champion,MONSTER EFFECT FUSION,2519690
威炎星－ヒエンシャク,Brotherhood of the Fire Fist - Swallow,MONSTER EFFECT,2521011
魔導騎士 ディフェンダー,"Defender, the Magical Knight",MONSTER EFFECT,2525268
銀河眼の光波刃竜,Galaxy-Eyes Cipher Blade Dragon,MONSTER EFFECT XYZ,2530830
スカーレッド・コクーン,Red Cocoon,TRAP,2542230
オルターガイスト・ホーンデッドロック,Altergeist Haunted Rock,TRAP CONTINUOUS,2547033
侵食細胞「A」,"Corruption Cell ""A""",SPELL,2561846
マジェスペクター・テンペスト,Majespecter Tempest,TRAP COUNTER,2572890
シャクトパス,Shocktopus,MONSTER EFFECT,2584136
破壊剣－ウィザードバスターブレード,Wizard Buster Destruction Sword,MONSTER EFFECT,2602411
フォトン・チャージマン,Photon Chargeman,MONSTER EFFECT,2618045
剣闘獣サムニテ,Gladiator Beast Samnite,MONSTER EFFECT,2619149
スプール・コード,Spool Code,SPELL QUICKPLAY,2625939
スプールトークン,Spool Token,MONSTER NORMAL TOKEN,2625940
零氷の魔妖－雪女,"Yuki-Onna, the Absolute Zero Mayakashi",MONSTER EFFECT LINK,2645637
ZW－極星神馬聖鎧,ZW - Sleipnir Mail,MONSTER EFFECT,2648201
永の王 オルムガンド,"Jormungandr, Generaider Boss of Eternity",MONSTER EFFECT XYZ,2665273
ハイパーハンマーヘッド,Hyper Hammerhead,MONSTER EFFECT,2671330
メデューサ・ワーム,Medusa Worm,MONSTER EFFECT,2694423
ファーニマル・キャット,Fluffal Cat,MONSTER EFFECT,2729285
デコイドラゴン,Decoy Dragon,MONSTER EFFECT,2732323
水晶機巧－フェニキシオン,Crystron Phoenix,MONSTER EFFECT SYNCHRO,2743001
グレイドル・インパクト,Graydle Impact,SPELL CONTINUOUS,2759860
ダイガスタ・フェニクス,Daigusto Phoenix,MONSTER EFFECT XYZ,2766877
エレキマイラ,Wattchimera,MONSTER EFFECT SYNCHRO,2772236
棘の壁,Wall of Thorns,TRAP,2779999
青き眼の威光,Majesty with Eyes of Blue,SPELL QUICKPLAY,2783661
異形の従者,Servant of Catabolism,MONSTER EFFECT,2792265
戦華の雄－張徳,Ancient Warriors - Valiant Zhang De,MONSTER EFFECT,2801664
PSYフレームギア・β,PSY-Framegear Beta,MONSTER EFFECT TUNER SPSUMMON,2810642
幻煌の都 パシフィス,"Pacifis, the Phantasm City",SPELL FIELD,2819435
幻煌龍トークン,Phantasm Spiral Token,MONSTER NORMAL TOKEN,2819436
フレイム・ヴァイパー,Flame Viper,MONSTER NORMAL,2830619
虹クリボー,Rainbow Kuriboh,MONSTER EFFECT,2830693
竜の血族,D. Tribe,TRAP,2833249
素早いマンボウ,Nimble Sunfish,MONSTER EFFECT,2843014
魔鏡導士リフレクト・バウンダー,Reflect Bounder,MONSTER EFFECT,2851070
トロイメア・フェニックス,Knightmare Phoenix,MONSTER EFFECT LINK,2857636
ミラージュ,Fiend Reflection #2,MONSTER NORMAL,2863439
炎の王 ナグルファー,"Naglfar, Generaider Boss of Fire",MONSTER EFFECT,2881864
生け贄人形,Tribute Doll,SPELL,2903036
グラップラー,Grappler,MONSTER NORMAL,2906250
借カラクリ整備蔵,Karakuri Cash Shed,TRAP COUNTER,2924048
王家の呪い,Curse of Royal,TRAP COUNTER,2926176
星遺物へ至る鍵,World Legacy Key,SPELL CONTINUOUS,2930675
ゴゴゴゴーレム－GF,Gogogo Golem - Golden Form,MONSTER EFFECT SPSUMMON,2948263
ナチュル・パルキオン,Naturia Barkion,MONSTER EFFECT SYNCHRO,2956282
魔頭を持つ邪竜,Wicked Dragon with the Ersatz Head,MONSTER NORMAL,2957055
ドラゴン・エッガー,Ryu-Ran,MONSTER NORMAL,2964201
戦いの神 オリオン,Orion the Battle King,MONSTER NORMAL,2971090
キャッチ・コピー,Sales Pitch,TRAP,2971446
No.46 神影龍ドラッグルーオン,Number 46: Dragluon,MONSTER EFFECT XYZ,2978414
聖なるあかり,Consecrated Light,MONSTER EFFECT,2980764
夜薔薇の騎士,Twilight Rose Knight,MONSTER EFFECT TUNER,2986553
Fuhma Wave,Fuhma Wave,TRAP,2994495
サイバー・ダーク・キール,Cyberdark Keel,MONSTER EFFECT,3019642
ワルキューレ・ドリット,Valkyrie Dritte,MONSTER EFFECT,3026686
偽物のわな,Fake Trap,TRAP,3027001
スレイブ・エイプ,Test Ape,MONSTER EFFECT,3030892
黒板消しの罠,Trap of Board Eraser,TRAP COUNTER,3055837
王座の侵略者,Invader of the Throne,MONSTER EFFECT FLIP,3056267
超重武者装留ビッグバン,Superheavy Samurai Soulbang Cannon,MONSTER EFFECT,3064425
スノー・ドラゴン,Snow Dragon,MONSTER EFFECT,3070049
リターン・ゾンビ,Return Zombie,MONSTER EFFECT,3072077
BF－天狗風のヒレン,Blackwing - Hillen the Tengu-wind,MONSTER EFFECT TUNER,3072808
八汰烏,Yata-Garasu,MONSTER EFFECT SPIRIT,3078576
タツネクロ,Tatsunecro,MONSTER EFFECT TUNER,3096468
ブリリアント・スパーク,Brilliant Spark,TRAP,3105404
彩宝龍,Lappis Dragon,MONSTER EFFECT TUNER,3111207
鋼鉄の襲撃者,Heavy Metal Raiders,SPELL FIELD,3113667
ジェムナイト・セラフィ,Gem-Knight Seraphinite,MONSTER EFFECT FUSION,3113836
超重武者ビッグベン－K,Superheavy Samurai Big Benkei,MONSTER EFFECT,3117804
カース・オブ・スタチュー,Tiki Curse,TRAP CONTINUOUS,3129635
フライングマンティス,Flying Kamakiri #2,MONSTER NORMAL,3134241
オルフェゴール・オーケストリオン,Orcustrion,MONSTER EFFECT LINK,3134857
レベル制限B地区,Level Limit - Area B,SPELL CONTINUOUS,3136426
サイコ・リアクター,Psychic Reactor,TRAP,3146695
ツタン仮面,Tutan Mask,TRAP COUNTER,3149764
明と宵の逆転,Exchange of Night and Day,TRAP CONTINUOUS,3160805
パペット・キング,Puppet King,MONSTER EFFECT,3167573
タクヒ,Takuhee,MONSTER NORMAL,3170832
連鎖解呪,Chain Dispel,TRAP,3171055
ワーム・ソリッド,Worm Solid,MONSTER EFFECT,3204467
禁断の異本,Forbidden Apocrypha,TRAP,3211439
サイコウィールダー,Psychic Wheeleder,MONSTER EFFECT TUNER,3233859
シールドスピア,Shield Spear,TRAP,3244563
